pixel1,pixel2,pixel3,pixel4,pixel5,pixel6,pixel7,pixel8,pixel9
581,376,448,624,391,399,719,512,448
587,377,448,629,389,399,719,513,448
587,376,448,633,393,399,719,512,448
581,384,448,629,393,399,719,512,448
586,373,448,628,393,399,719,512,448
589,377,448,640,391,399,719,512,448
591,384,448,640,394,399,719,512,448
587,384,448,624,389,399,753,512,448
586,377,448,640,395,399,719,513,448
587,384,448,640,393,399,756,513,448
587,384,449,629,395,399,756,513,448
587,384,453,635,394,399,719,512,440
581,384,448,635,393,399,719,514,448
589,384,448,631,394,399,719,512,448
591,384,448,640,395,399,757,512,448
591,384,453,640,395,399,756,512,448
581,384,448,640,393,399,756,512,448
591,384,449,640,391,424,719,512,448
586,384,448,640,393,399,757,512,448
587,384,448,640,395,399,756,512,448
587,384,448,640,391,424,719,512,449
591,384,453,640,395,424,756,512,448
587,377,448,640,395,424,753,513,448
589,384,441,640,393,399,757,513,448
587,384,452,640,391,399,757,513,448
585,384,448,640,395,424,757,513,448
589,384,450,635,393,399,753,513,449
591,384,449,640,395,399,756,512,448
591,384,448,640,395,399,756,513,448
587,384,452,640,395,424,756,514,448
587,384,448,640,393,399,753,513,448
585,384,448,640,393,399,719,512,448
580,384,448,635,393,399,719,512,448
581,373,448,628,385,399,719,512,448
581,377,448,628,389,399,719,497,448
581,377,441,629,391,399,719,512,448
581,373,448,628,388,399,719,512,448
585,377,448,633,389,399,719,512,448
580,377,448,629,393,399,719,512,448
581,384,448,629,386,399,719,512,440
587,384,448,629,390,399,719,512,448
581,384,448,624,393,399,719,512,448
577,384,448,629,385,399,719,512,448
585,372,448,625,395,399,719,512,448
587,384,448,640,395,399,719,512,448
587,377,448,640,393,399,719,512,448
587,384,448,640,388,399,719,512,448
591,384,448,640,395,399,719,512,448
585,384,452,631,393,399,757,513,448
591,376,449,628,393,399,756,517,452
587,384,448,640,395,424,756,512,449
587,384,448,640,395,424,768,513,448
587,384,448,640,393,399,753,514,452
589,384,453,640,395,399,756,512,448
591,384,448,640,389,424,768,513,452
591,373,449,640,395,424,756,516,450
591,388,448,640,391,399,757,516,448
591,384,449,644,395,399,757,514,448
587,384,452,640,395,424,757,513,448
587,384,448,631,394,424,757,513,452
591,384,449,644,395,424,768,513,452
591,384,448,640,395,399,757,514,452
591,384,448,634,397,399,757,516,453
585,377,448,640,393,399,719,513,448
587,384,448,640,389,399,761,512,448
589,384,448,640,395,399,757,513,448
585,384,453,640,393,424,768,516,452
589,384,452,640,393,424,768,513,452
591,384,453,640,395,424,756,513,449
589,384,449,634,390,424,757,513,452
587,384,448,640,395,399,719,512,448
586,377,452,640,394,399,719,512,448
586,377,448,625,393,399,719,513,448
587,377,448,629,393,399,719,512,448
581,384,448,629,394,399,719,512,448
587,377,448,634,389,399,719,512,448
587,384,448,640,394,399,719,512,448
585,384,448,629,393,399,719,512,448
581,384,448,633,395,399,719,513,440
585,373,448,629,389,399,753,512,448
586,377,448,628,393,399,719,512,448
586,384,448,629,389,399,719,512,448
586,377,448,629,393,399,768,512,448
591,384,448,640,395,424,756,512,449
587,384,449,640,395,424,756,514,449
581,384,448,640,393,399,757,514,452
587,384,452,635,395,399,757,521,448
587,384,452,644,397,424,768,516,452
589,384,449,640,395,399,757,517,452
591,384,448,640,397,424,757,512,448
591,384,448,644,397,425,768,517,452
589,384,449,640,395,424,768,517,452
591,384,448,644,397,424,757,514,452
591,384,452,640,395,424,768,517,452
591,384,453,644,395,424,768,517,452
591,384,452,640,397,424,719,513,449
587,384,448,644,397,424,768,517,449
587,384,453,640,397,424,768,516,453
589,384,452,644,395,399,768,513,448
591,384,448,640,395,399,768,516,448
591,384,448,640,393,432,772,517,452
591,384,449,640,395,399,772,517,456
591,385,452,644,395,425,757,517,452
587,384,452,645,397,425,768,517,453
591,386,448,644,397,424,768,516,452
591,385,448,644,397,424,768,517,448
591,384,452,640,397,424,768,521,453
591,384,457,645,395,425,768,517,452
591,389,457,640,395,432,768,517,452
591,384,452,645,399,424,768,517,452
591,384,448,645,397,432,768,519,453
589,384,450,644,393,399,768,514,448
586,384,448,640,393,424,768,517,452
587,384,449,640,395,399,756,512,448
587,384,452,640,395,399,719,512,452
591,384,448,640,395,399,757,513,449
587,384,452,631,389,399,719,513,448
591,384,441,640,395,399,756,512,453
587,384,449,640,395,424,756,513,448
581,384,448,628,389,399,719,512,449
581,377,449,640,395,399,757,512,448
586,384,448,640,395,399,756,513,448
581,377,448,640,386,399,719,512,441
586,384,448,634,395,399,756,512,448
587,384,448,629,389,399,757,512,449
589,384,448,640,395,424,768,517,448
591,384,448,644,395,424,768,516,452
587,385,452,640,393,399,757,517,452
591,384,452,644,395,424,768,517,448
589,384,448,640,397,425,768,517,453
587,384,452,645,395,424,768,519,453
591,385,452,645,395,424,768,523,449
591,384,452,644,399,424,768,516,457
591,377,453,641,395,432,768,517,449
589,384,453,644,399,424,768,513,452
591,384,448,645,397,425,768,517,453
591,384,452,644,397,425,768,521,453
591,384,448,644,397,432,768,517,453
591,384,449,645,399,424,768,517,457
587,384,458,645,399,425,768,517,452
589,384,458,645,397,424,768,513,452
591,384,457,646,399,432,772,521,456
591,385,449,645,397,432,769,521,457
587,384,453,644,395,424,768,517,458
591,384,453,647,399,424,757,517,457
591,384,457,645,399,432,768,523,452
589,384,459,640,395,432,768,523,457
591,386,453,644,399,425,772,523,457
591,384,457,645,399,432,769,521,452
591,384,453,644,395,424,772,523,457
591,384,452,645,399,425,768,523,448
591,384,456,645,399,432,768,521,453
591,384,457,645,399,426,773,523,456
591,384,452,644,395,425,768,517,448
587,384,448,640,395,424,757,517,452
587,376,449,640,389,399,719,513,453
587,384,449,640,395,399,768,515,449
589,384,448,640,395,399,768,514,448
587,384,448,640,395,399,757,517,448
587,373,448,640,394,424,768,513,448
586,384,452,640,394,399,756,517,448
587,384,448,640,393,399,757,512,448
587,377,452,640,395,399,756,513,448
587,376,452,640,393,424,756,513,449
585,384,448,640,393,399,757,513,448
581,377,448,640,393,399,753,512,448
585,377,448,640,395,399,719,512,449
587,384,448,640,395,399,768,513,449
580,384,448,640,395,424,768,516,450
587,384,449,640,395,424,757,513,452
587,384,459,644,395,432,757,517,448
591,384,448,640,395,399,768,519,452
589,384,449,640,395,399,768,517,453
589,384,452,640,395,424,768,512,452
591,384,448,635,397,425,768,517,452
587,384,449,640,397,424,768,517,452
587,384,452,641,399,399,757,514,448
591,384,448,644,397,425,768,517,452
591,384,452,644,395,425,768,517,452
587,384,448,640,393,424,756,513,452
587,384,453,640,395,399,768,514,452
589,384,448,640,393,424,768,517,452
589,384,452,644,393,399,756,513,452
591,384,452,641,397,424,768,517,452
589,384,449,640,395,399,768,513,449
587,384,449,640,393,399,768,516,452
587,384,452,640,395,424,757,513,448
589,384,453,640,394,424,768,514,449
589,384,448,644,389,399,757,513,449
587,384,452,644,395,399,768,512,449
591,384,448,640,395,424,757,512,448
591,384,452,640,395,424,757,514,448
587,385,452,640,395,399,757,512,448
587,384,449,631,391,424,768,513,449
587,384,448,640,395,399,756,513,448
581,384,448,634,389,399,719,512,448
581,384,448,629,393,399,719,512,448
586,376,441,629,389,399,719,512,440
576,377,441,628,388,399,719,512,437
580,372,440,624,388,399,719,497,432
580,373,433,624,386,399,719,497,433
576,371,441,624,385,399,719,497,432
580,373,433,624,384,399,719,497,432
527,369,434,624,384,399,719,496,432
580,368,436,591,384,399,719,496,432
527,370,437,615,384,399,719,496,432
527,368,433,591,384,399,719,488,432
527,369,433,591,384,399,719,488,432
527,368,436,615,384,399,719,489,432
527,368,433,591,384,399,719,489,432
527,384,433,591,377,399,715,489,432
576,372,432,615,384,399,713,496,432
576,372,436,615,384,399,719,489,432
527,373,436,591,377,399,719,489,432
580,373,441,613,384,399,717,463,432
527,369,440,618,384,399,719,489,432
585,369,433,591,384,399,719,488,432
527,369,437,591,371,399,715,463,432
527,373,441,591,384,399,719,488,432
527,372,433,591,384,399,717,488,432
527,372,440,591,373,397,715,488,432
527,369,433,591,377,399,719,488,424
576,369,436,591,384,399,719,488,432
527,368,432,591,373,399,717,488,432
527,369,433,591,384,399,719,463,432
527,369,432,591,384,399,715,463,424
527,373,440,591,370,399,715,463,424
527,369,436,591,376,399,713,463,399
527,372,432,591,377,399,714,463,424
527,368,432,591,369,399,715,463,424
527,373,432,591,377,399,709,463,399
527,368,437,591,377,399,708,463,424
527,369,432,591,377,397,712,463,399
527,368,436,591,376,395,713,463,399
527,368,436,591,376,399,715,463,424
527,369,432,591,373,397,708,463,399
527,368,432,591,373,395,704,463,399
527,368,424,591,369,395,655,463,399
527,362,432,591,369,395,704,463,399
527,368,432,589,368,393,704,463,399
527,368,425,591,371,393,704,463,399
527,368,424,589,368,389,704,463,399
527,368,432,587,361,389,704,463,399
527,360,424,587,368,391,655,463,399
527,360,425,587,368,389,655,463,399
527,368,432,587,361,384,655,459,399
527,360,399,587,368,388,655,463,399
527,360,399,587,368,386,655,463,399
527,362,432,587,368,386,655,459,399
527,368,425,587,368,389,655,463,399
527,361,432,587,368,388,655,463,399
527,362,399,587,368,393,655,463,399
527,368,432,591,368,388,655,461,399
527,368,432,591,368,389,655,463,399
527,368,399,587,368,388,704,463,399
527,368,399,589,368,389,655,463,399
527,368,432,589,368,390,655,463,399
527,361,424,581,368,389,704,463,399
527,368,432,591,368,385,655,463,399
527,368,432,589,369,389,655,463,399
527,368,424,591,368,389,655,463,399
527,362,432,591,368,388,655,461,399
527,368,432,589,368,389,655,463,399
527,368,432,589,368,389,655,463,399
527,362,424,587,362,388,655,463,399
527,368,399,585,360,384,655,463,399
527,362,424,587,368,388,655,463,399
527,361,424,587,368,384,655,463,399
527,361,424,581,368,388,655,459,399
527,368,399,587,368,388,655,459,399
527,368,424,587,368,389,655,461,399
527,361,425,587,368,385,655,463,399
527,368,424,587,368,388,655,457,399
527,360,432,587,361,388,655,463,399
527,368,399,586,368,386,655,463,399
527,360,424,581,362,385,655,459,399
527,360,399,527,360,384,655,458,399
527,353,399,527,360,384,655,452,397
527,361,399,576,360,384,655,453,395
527,353,399,527,360,373,655,452,395
527,353,399,527,356,384,655,441,388
527,353,399,527,356,384,655,448,395
527,353,399,527,360,377,655,448,395
527,353,399,527,353,373,655,448,394
527,353,399,527,353,376,655,448,389
527,352,399,527,352,369,653,441,389
527,352,399,527,352,373,655,448,389
527,352,399,527,352,373,651,448,389
527,353,399,527,352,369,651,448,384
527,352,399,527,352,373,653,448,389
