pixel1,pixel2,pixel3,pixel4,pixel5,pixel6,pixel7,pixel8,pixel9
333,448,655,655,783,911,517,651,719
333,448,653,655,783,911,514,655,719
335,448,651,655,783,911,517,655,719
591,591,655,655,783,911,513,655,719
333,448,655,655,783,911,517,655,719
333,448,655,655,783,911,517,653,719
333,448,651,655,783,911,517,653,719
333,448,653,655,783,911,512,651,719
335,448,653,655,783,911,517,655,719
335,448,651,655,783,911,516,653,719
333,449,651,655,783,911,516,651,719
333,448,653,655,783,911,513,655,719
333,448,651,655,783,911,517,651,719
591,591,655,655,783,911,513,651,719
333,448,655,655,783,911,517,653,719
333,448,653,655,783,911,517,653,719
333,452,651,655,783,911,517,655,719
333,448,651,655,783,911,516,650,719
333,448,651,655,783,911,513,651,719
335,448,655,655,783,911,514,651,719
591,591,655,655,783,911,517,655,719
333,448,655,655,783,911,517,653,719
333,448,655,655,783,911,517,655,719
333,449,655,655,783,971,517,655,719
591,448,655,655,783,911,521,655,719
333,448,655,655,783,971,521,655,719
333,448,655,655,783,971,521,651,719
333,450,655,655,783,911,523,655,719
333,448,655,655,783,973,523,655,753
333,449,655,655,783,975,523,655,719
333,448,655,655,783,971,517,655,756
333,448,655,655,783,971,523,655,756
591,615,655,655,783,971,521,655,719
335,448,655,655,783,971,519,655,756
333,449,655,655,783,971,523,655,757
333,448,655,655,783,971,522,655,756
333,448,655,655,783,911,523,655,719
333,448,655,655,783,911,523,655,719
335,448,655,655,783,971,523,655,753
333,448,655,655,783,911,521,655,719
333,449,655,655,783,911,521,655,719
333,448,655,655,783,971,519,655,719
333,448,655,655,783,911,521,655,719
333,448,655,655,783,911,519,655,719
333,448,655,655,783,911,521,655,719
335,448,655,655,783,911,517,655,719
333,448,655,655,783,911,521,655,719
335,448,655,655,783,971,521,655,719
591,591,655,655,783,971,523,655,757
333,452,655,655,783,971,523,655,757
333,449,655,655,783,971,523,655,757
335,448,655,655,783,975,523,655,768
333,452,655,655,783,975,525,655,756
333,448,655,655,783,975,523,655,768
333,448,655,655,783,975,523,655,768
335,448,655,655,783,973,523,655,757
335,448,655,655,783,975,523,655,768
333,452,655,655,783,975,523,655,768
335,448,655,655,783,975,525,655,768
335,448,655,655,783,975,523,655,768
333,452,655,655,783,975,517,655,768
335,452,655,655,783,975,523,655,768
591,452,655,655,783,975,525,655,768
334,452,655,655,783,975,523,655,768
331,448,655,655,783,975,523,655,768
591,591,655,655,783,975,527,655,768
333,448,655,655,783,973,523,655,768
333,452,655,655,783,975,523,655,768
591,591,655,655,783,975,527,655,768
333,452,655,655,783,973,525,655,768
333,449,655,655,783,971,523,655,768
591,448,655,655,783,975,523,655,768
335,452,655,655,783,973,527,655,768
333,448,655,655,783,975,527,655,768
333,449,655,655,783,975,523,655,768
591,452,655,655,783,975,527,655,768
333,448,655,655,783,975,525,655,768
333,449,655,655,783,975,527,655,768
333,452,655,655,783,975,523,655,768
333,449,655,655,783,975,527,655,768
335,452,655,655,783,975,527,655,772
