pixel1,pixel2,pixel3,pixel4,pixel5
0,8207,0,3087,1551
0,8207,0,3343,1551
0,8207,0,3471,1551
0,8207,0,3599,1551
0,8207,0,3599,1551
0,8207,0,3599,1547
0,8207,0,3599,1487
0,8207,0,3599,1487
0,7695,0,3791,1487
0,8079,0,3855,1423
0,8079,0,3855,1423
0,7951,0,3855,1423
0,7951,0,3855,1423
0,7695,0,3855,1423
0,8079,0,3855,1423
0,8207,0,3855,1423
0,8079,0,3855,1423
0,8207,0,3855,1423
0,8207,0,3855,1423
0,8207,0,3983,1423
0,7951,0,3983,1423
0,7951,0,3983,1423
0,8079,0,3983,1423
0,8207,0,3983,1423
0,7951,0,3983,1423
0,8079,0,3983,1423
0,8207,0,3983,1423
0,8207,0,3983,1423
0,8079,0,3983,1423
0,8079,0,4047,1423
0,8207,0,4111,1423
0,8207,0,4111,1423
0,7951,0,4111,1423
0,8207,0,4111,1423
0,8079,0,4111,1423
0,8079,0,4111,1423
0,7695,0,4111,1423
0,7695,0,4111,1423
0,8207,0,4111,1423
0,8207,0,4111,1423
0,8207,0,4111,1423
0,8207,0,4111,1423
0,8207,0,4111,1423
0,8207,0,4111,1423
0,8207,0,4111,1423
0,8207,0,4111,1423
0,8207,0,4111,1423
0,8207,0,4111,1423
0,8207,0,4111,1423
0,8207,0,4111,1423
0,7951,0,4111,1423
0,8207,0,4111,1423
0,8207,0,4111,1423
0,8207,0,4111,1423
0,8207,0,4111,1359
0,8207,0,4111,1359
0,7695,0,4111,1359
0,7951,0,4111,1359
0,7695,0,4111,1359
0,7951,0,4111,1551
0,8207,0,4111,1359
0,7951,0,4111,1359
0,8079,0,4111,1359
0,7951,0,4111,1359
0,7695,0,4111,1359
0,8079,0,4111,1359
0,8079,0,4111,1359
0,7695,0,4111,1359
0,7951,0,4111,1359
0,7951,0,4111,1359
0,7951,0,4111,1359
0,8207,0,4111,1359
0,8207,0,4111,1359
0,8079,0,4111,1359
0,7951,0,4111,1359
0,8207,0,4111,1359
0,8207,0,4111,1359
0,8079,0,4111,1359
0,8207,0,4111,1359
0,8079,0,4111,1359
0,7951,0,4111,1359
0,8079,0,4111,1359
0,8079,0,4111,1359
0,8207,0,4111,1359
0,8207,0,4111,1359
0,8207,0,4111,1359
0,8207,0,4111,1359
0,8207,0,4111,1359
0,8207,0,4111,1359
0,8207,0,4111,1359
0,7951,0,4111,1359
0,7695,0,4111,1359
0,8079,0,4111,1359
0,8207,0,4111,1359
0,8079,0,4111,1359
0,8207,0,4111,1359
0,8207,0,4111,1359
0,8207,0,4111,1359
0,8207,0,4111,1359
0,8207,0,4111,1359
0,8207,0,4111,1359
0,8207,0,4111,1359
0,8207,0,4111,1359
0,8207,0,4111,1359
0,8207,0,4111,1359
0,8207,0,4111,1359
0,8207,0,4111,1359
0,8207,0,4111,1359
0,8079,0,4111,1359
0,8207,0,4111,1359
0,8207,0,4111,1359
0,8207,0,4111,1359
0,8207,0,4111,1359
0,8207,0,4111,1359
0,8207,0,4111,1359
0,8207,0,4111,1359
0,8207,0,4111,1359
0,7951,0,4111,1359
0,8207,0,4111,1359
0,8207,0,4111,1359
0,7951,0,4111,1359
0,8207,0,4111,1359
0,8207,0,4111,1359
0,8207,0,4111,1359
0,8079,0,4111,1359
0,8207,0,4111,1359
0,8079,0,4367,1295
0,8207,0,4111,1295
0,8207,0,4111,1295
0,8207,0,4111,1295
0,8079,0,4111,1295
0,8079,0,4111,1295
0,8207,0,4111,1295
0,8079,0,4111,1295
0,8079,0,4111,1295
0,7951,0,4111,1295
0,8079,0,4111,1295
0,8207,0,4111,1295
0,8207,0,4111,1295
0,8207,0,4111,1295
0,8207,0,4111,1359
0,7951,0,4111,1359
0,8207,0,4111,1359
0,8207,0,4111,1359
0,8207,0,4111,1359
0,8207,0,4111,1295
0,8207,0,4111,1359
0,8207,0,4111,1359
0,8207,0,4111,1359
0,8207,0,4111,1359
0,8207,0,4111,1359
0,8079,0,4111,1359
0,8207,0,4111,1359
0,8207,0,4111,1359
0,8079,0,4111,1359
0,8207,0,4111,1359
0,8207,0,4111,1359
0,8079,0,4111,1359
0,8079,0,4111,1359
0,8207,0,4111,1359
0,8079,0,4111,1359
0,7951,0,4111,1359
0,8207,0,4111,1359
0,7951,0,4111,1359
0,8207,0,4111,1359
0,8207,0,4111,1359
0,8207,0,4111,1359
0,8207,0,4111,1359
0,8207,0,4111,1359
0,7951,0,4111,1359
0,8079,0,4111,1359
0,8207,0,4111,1359
0,8207,0,4111,1359
0,8207,0,4111,1359
0,8207,0,4111,1359
0,8207,0,4111,1359
0,8207,0,4111,1359
0,8079,0,4111,1359
0,8207,0,4111,1359
0,8079,0,4111,1359
0,8207,0,4111,1359
0,8207,0,4111,1359
0,8207,0,4111,1359
0,8207,0,4111,1359
0,8207,0,4111,1359
0,7951,0,4111,1359
0,8207,0,4111,1359
0,8207,0,4111,1359
