pixel1,pixel2,pixel3,pixel4,pixel5,pixel6,pixel7,pixel8,pixel9,pixel10,pixel11,pixel12,pixel13,pixel14,pixel15,pixel16,pixel17,pixel18,pixel19,pixel20,pixel21,pixel22,pixel23,pixel24,pixel25,pixel26,pixel27,pixel28,pixel29,pixel30,pixel31,pixel32,pixel33,pixel34,pixel35,pixel36,pixel37,pixel38,pixel39,pixel40,pixel41,pixel42,pixel43,pixel44,pixel45
3471,4047,5519,4367,4879,6159,6159,6671,7695,16399,65535,65535,65535,65535,65535,65535,65535,65535,4367,3599,4367,3855,3471,4111,4495,4111,7695,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3471,4111,5519,4367,4879,6159,6159,6671,7695,16399,65535,65535,65535,65535,65535,65535,65535,65535,4367,3599,4495,3855,3471,4111,4495,4367,7695,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3471,4111,5647,4367,4879,6159,6159,6671,7695,16911,65535,65535,65535,65535,65535,65535,65535,65535,4367,3599,4367,3599,3343,4047,4367,4111,7183,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3471,4111,5647,4495,4879,6159,6159,6671,7695,16911,65535,65535,65535,65535,65535,65535,65535,65535,4111,3599,4367,3599,3343,3855,4111,3983,7183,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3471,4111,5647,4495,4879,6159,6159,6671,7695,16911,65535,65535,65535,65535,65535,65535,65535,65535,4111,3599,4111,3535,3087,3855,4111,3855,6927,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3471,4111,5647,4495,4879,6159,6159,6671,7695,16911,65535,65535,65535,65535,65535,65535,65535,65535,4111,3471,4111,3343,3087,3599,3855,3599,6671,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3471,4111,5647,4495,4879,6159,6159,6671,7695,16399,65535,65535,65535,65535,65535,65535,65535,65535,3983,3343,3983,3343,3087,3599,3791,3599,6671,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3471,4111,5647,4495,4879,6159,6159,6671,7695,16911,65535,65535,65535,65535,65535,65535,65535,65535,3855,3343,3855,3087,2959,3471,3599,3471,6159,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3471,4111,5647,4495,4879,6159,6159,6671,7695,16911,65535,65535,65535,65535,65535,65535,65535,65535,3791,3343,3791,3087,2831,3343,3471,3343,6159,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3471,4111,5647,4495,4879,6159,6159,6671,7695,16911,65535,65535,65535,65535,65535,65535,65535,65535,3599,3087,3599,2959,2831,3343,3343,3343,5903,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3471,4111,5647,4495,5007,6159,6159,6671,7695,16911,65535,65535,65535,65535,65535,65535,65535,65535,3599,3087,3599,2831,2575,3087,3343,3087,5647,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3471,4111,5647,4495,4879,6159,6159,6671,7695,16911,65535,65535,65535,65535,65535,65535,65535,65535,3471,3087,3471,2831,2575,3087,3087,3087,5647,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3471,4111,5647,4495,5007,6159,6159,6671,7695,16911,65535,65535,65535,65535,65535,65535,65535,65535,3343,2959,3343,2575,2575,2959,3087,2959,5391,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3471,4111,5647,4495,5007,6159,6159,6671,7695,16911,65535,65535,65535,65535,65535,65535,65535,65535,3343,2831,3343,2575,2447,2831,2959,2831,5391,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3471,4111,5647,4495,5007,6159,6159,6671,7695,16399,65535,65535,65535,65535,65535,65535,65535,65535,3343,2831,3087,2575,2447,2831,2831,2831,5135,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3471,4111,5647,4495,5007,6159,6159,6671,7695,16911,65535,65535,65535,65535,65535,65535,65535,65535,3087,2767,3087,2447,2319,2703,2831,2767,5135,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3471,4111,5647,4495,5007,6159,6159,6671,7695,16911,65535,65535,65535,65535,65535,65535,65535,65535,3087,2575,3087,2447,2319,2575,2703,2575,4879,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3471,4111,5647,4495,5007,6159,6159,6671,7695,16911,65535,65535,65535,65535,65535,65535,65535,65535,3087,2575,2959,2319,2255,2575,2575,2575,4879,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3471,4111,5647,4495,5007,6159,6159,6671,7695,16911,65535,65535,65535,65535,65535,65535,65535,65535,3087,2575,2831,2319,2191,2575,2575,2575,4623,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3471,4111,5647,4495,5007,6159,6159,6671,7695,16911,65535,65535,65535,65535,65535,65535,65535,65535,2959,2575,2831,2319,2063,2511,2575,2575,4623,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3471,4111,5647,4495,5007,6159,6159,6671,7695,16911,65535,65535,65535,65535,65535,65535,65535,65535,2831,2511,2831,2191,2063,2447,2575,2511,4495,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3471,4111,5647,4495,5007,6159,6159,6671,7695,16911,65535,65535,65535,65535,65535,65535,65535,65535,2831,2447,2703,2063,2063,2319,2447,2447,4495,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3471,4111,5647,4495,5007,6159,6159,6671,7695,16911,65535,65535,65535,65535,65535,65535,65535,65535,2831,2447,2575,2063,2063,2319,2447,2319,4367,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3471,4111,5647,4495,5007,6159,6159,6671,7695,16911,65535,65535,65535,65535,65535,65535,65535,65535,2767,2319,2575,2063,2063,2319,2319,2319,4367,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3471,4111,5647,4623,5007,6159,6159,6671,7695,16911,65535,65535,65535,65535,65535,65535,65535,65535,2575,2319,2575,2063,2063,2319,2319,2319,4111,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3471,4111,5647,4623,5007,6159,6159,6671,7695,16911,65535,65535,65535,65535,65535,65535,65535,65535,2575,2319,2575,2063,1999,2255,2319,2319,4111,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3471,4111,5647,4623,5007,6159,6159,6671,7695,16911,65535,65535,65535,65535,65535,65535,65535,65535,2575,2255,2511,2063,1935,2191,2319,2319,4111,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3471,4111,5647,4623,5007,6159,6159,6671,7695,16911,65535,65535,65535,65535,65535,65535,65535,65535,2575,2255,2447,1935,1935,2191,2319,2255,4111,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3471,4111,5647,4623,5007,6159,6159,6671,7695,16911,65535,65535,65535,65535,65535,65535,65535,65535,2575,2191,2447,1935,1935,2063,2191,2191,4111,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3471,4111,5647,4623,5007,6159,6159,6671,7695,16911,65535,65535,65535,65535,65535,65535,65535,65535,2575,2191,2319,1935,1871,2063,2191,2191,3983,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3471,4111,5647,4495,5007,6159,6159,6671,7695,16911,65535,65535,65535,65535,65535,65535,65535,65535,2511,2063,2319,1935,1807,2063,2191,2191,3983,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3471,4111,5647,4495,4879,6159,6159,6671,7695,16911,65535,65535,65535,65535,65535,65535,65535,65535,2575,2191,2447,1999,1935,2063,2319,2255,4111,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3471,4111,5647,4495,4879,6159,6159,6671,7695,16911,65535,65535,65535,65535,65535,65535,65535,65535,2575,2255,2511,2063,2063,2319,2319,2447,4367,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3471,4111,5647,4495,4879,6159,6159,6671,7695,16911,65535,65535,65535,65535,65535,65535,65535,65535,2575,2319,2575,2191,2063,2447,2575,2575,4495,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3471,4111,5647,4495,4879,6159,6159,6671,7695,16911,65535,65535,65535,65535,65535,65535,65535,65535,2831,2447,2831,2319,2319,2575,2831,2831,4879,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3471,4111,5647,4495,4879,6159,6159,6671,7695,16399,65535,65535,65535,65535,65535,65535,65535,65535,2959,2575,2831,2511,2319,2767,2959,2959,5135,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3471,4111,5647,4367,4879,6159,6159,6671,7695,16911,65535,65535,65535,65535,65535,65535,65535,65535,3087,2575,3023,2575,2447,2831,3087,3087,5135,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3471,4111,5519,4367,4879,6159,6159,6671,7695,16911,65535,65535,65535,65535,65535,65535,65535,65535,3087,2575,3087,2575,2575,2959,3087,3087,5519,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3471,4111,5519,4367,4879,6159,6159,6671,7695,16911,65535,65535,65535,65535,65535,65535,65535,65535,3087,2831,3087,2831,2575,3087,3343,3343,5647,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3471,4111,5519,4367,4879,6159,6159,6671,7695,16911,65535,65535,65535,65535,65535,65535,65535,65535,3343,2831,3343,2831,2575,3087,3343,3343,5647,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3471,4111,5519,4367,4879,6159,6159,6671,7695,16399,65535,65535,65535,65535,65535,65535,65535,65535,3343,2831,3343,2959,2831,3087,3471,3471,5903,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3471,4111,5519,4367,4879,6159,6159,6671,7695,16399,65535,65535,65535,65535,65535,65535,65535,65535,3471,2959,3471,3087,2831,3343,3599,3599,6159,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3471,4111,5519,4367,4879,6159,6159,6671,7695,16399,65535,65535,65535,65535,65535,65535,65535,65535,3471,3087,3535,3087,2831,3343,3599,3599,6159,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3471,4111,5519,4367,4879,6159,6159,6671,7695,16911,65535,65535,65535,65535,65535,65535,65535,65535,3599,3087,3599,3087,2959,3471,3599,3599,6159,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3471,4111,5519,4367,4879,6159,6159,6671,7695,16911,65535,65535,65535,65535,65535,65535,65535,65535,3599,3087,3599,3087,2959,3535,3855,3599,6415,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3471,4111,5519,4367,4879,6159,6159,6671,7695,16911,65535,65535,65535,65535,65535,65535,65535,65535,3599,3087,3599,3343,3087,3599,3855,3855,6671,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3471,4111,5519,4367,4879,6159,6159,6671,7695,16911,65535,65535,65535,65535,65535,65535,65535,65535,3599,3087,3855,3343,3087,3599,3855,3855,6671,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3471,4111,5519,4367,4879,6159,6159,6671,7695,16911,65535,65535,65535,65535,65535,65535,65535,65535,3855,3343,3855,3343,3087,3599,3983,3855,6671,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3471,4111,5519,4367,4879,6159,6159,6671,7695,16911,65535,65535,65535,65535,65535,65535,65535,65535,3855,3343,3855,3471,3087,3599,4111,3855,6671,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3471,4111,5519,4495,4879,6159,6159,6671,7695,16399,65535,65535,65535,65535,65535,65535,65535,65535,3855,3343,3983,3471,3087,3855,4111,3983,6927,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
3471,4111,5519,4367,4879,6159,6159,6671,7695,16911,65535,65535,65535,65535,65535,65535,65535,65535,3855,3343,3983,3535,3087,3855,4111,3983,7055,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535
